name,phone,email,address,city,country,category,rating,reviews,gmb_url,has_website
Maintain Wellington,+64 27 766 1979,,,wellington,New Zealand,Handyman/Handywoman/Handyperson,,,"https://www.google.com/maps/place/Maintain+Wellington/@-41.2529601,174.7542577,11z/data=!3m1!4b1!4m6!3m5!1s0x22b2c6ca1cf18379:0x1df022bb7fdf804f!8m2!3d-41.2529602!4d174.7542577!16s%2Fg%2F11lw37q0p6?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
Handy Hands,+64 21 464 842,,,wellington,New Zealand,Handyman/Handywoman/Handyperson,,,"https://www.google.com/maps/place/Handy+Hands/@-41.1658759,174.9597026,10z/data=!3m1!4b1!4m6!3m5!1s0xedae8c5339edd6f:0xd165da821aa99c03!8m2!3d-41.1658759!4d174.9597026!16s%2Fg%2F11p07bxm34?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
The Repair Men,+64 4 563 5328,,"82 Tawhai Street, Stokes Valley, Lower Hutt 5019, New Zealand",wellington,New Zealand,Handyman/Handywoman/Handyperson,,,"https://www.google.com/maps/place/The+Repair+Men/@-41.1775915,174.9966431,17z/data=!3m1!4b1!4m6!3m5!1s0x6d4754cea7ce91f3:0x64516972ca5a2541!8m2!3d-41.1775915!4d174.9966431!16s%2Fg%2F11g_wzvwz?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
OddJobs?Handyman Services,+64 4 233 9719,,"53A Mana Esplanade, Paremata, Porirua 5026, New Zealand",wellington,New Zealand,Property maintenance,,,"https://www.google.com/maps/place/OddJobs%3FHandyman+Services/@-41.0979089,174.8691598,17z/data=!3m1!4b1!4m6!3m5!1s0x6d3f550ca07810b5:0x1dec324b0dec856a!8m2!3d-41.0979089!4d174.8691598!16s%2Fg%2F11rxq3t0m0?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
Handyman Paul,+64 274 462 462,,,wellington,New Zealand,Handyman/Handywoman/Handyperson,,,"https://www.google.com/maps/place/Handyman+Paul/@-41.0313568,175.0192034,10z/data=!3m1!4b1!4m6!3m5!1s0x468b014cfa6c79f3:0x45cdf9e12c6b95bb!8m2!3d-41.0313568!4d175.0192034!16s%2Fg%2F11mm8610g1?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
All Black Fern Ltd,+64 210 239 8157,,"10A Maire Street, Woburn, Lower Hutt 5010, New Zealand",wellington,New Zealand,Plasterer,4.9,4,"https://www.google.com/maps/place/All+Black+Fern+Ltd/@-41.2193573,174.9106691,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afff8374616f:0x6b2fe9e8ba24aa1c!8m2!3d-41.2193573!4d174.9106691!16s%2Fg%2F11fl0wft0k?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
Quite Handy,+64 27 857 0876,,,wellington,New Zealand,Handyman/Handywoman/Handyperson,,,"https://www.google.com/maps/place/Quite+Handy/@-41.3140153,174.7512336,13z/data=!3m1!4b1!4m6!3m5!1s0x6d38afbb4a85a085:0x79c27aa4294b991a!8m2!3d-41.3140153!4d174.7512336!16s%2Fg%2F11c0vlgm82?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
SM HANDYMAN LIMITED,+64 210 253 3598,,,wellington,New Zealand,Handyman/Handywoman/Handyperson,,,"https://www.google.com/maps/place/SM+HANDYMAN+LIMITED/@-41.2212655,175.4752802,9z/data=!3m1!4b1!4m6!3m5!1s0x86f769502fc53f75:0x98ac1222d23034a1!8m2!3d-41.2212655!4d175.4752802!16s%2Fg%2F11szfhd_ng?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
Handy Hands Contracting,+64 21 201 9714,,,wellington,New Zealand,Handyman/Handywoman/Handyperson,,,"https://www.google.com/maps/place/Handy+Hands+Contracting/@-40.9248354,175.0039087,5z/data=!3m1!4b1!4m6!3m5!1s0xadd39b5cb1c8010d:0x973fcbf1428167d0!8m2!3d-40.9248354!4d175.0039087!16s%2Fg%2F11mt97b3vj?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
Property Enhancements Ltd,+64 4 938 4893,,"26 Rodney Street, Waiwhetu, Lower Hutt 5010, New Zealand",wellington,New Zealand,Handyman/Handywoman/Handyperson,,,"https://www.google.com/maps/place/Property+Enhancements+Ltd/@-41.2229114,174.9136584,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38aa440c45473b:0xeb3703853069323c!8m2!3d-41.2229114!4d174.9136584!16s%2Fg%2F1hc5095hl?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
GD 5 Star Home Services,+64 210 786 689,,,wellington,New Zealand,Handyman/Handywoman/Handyperson,,,"https://www.google.com/maps/place/GD+5+Star+Home+Services/@-41.2529601,174.7542577,11z/data=!3m1!4b1!4m6!3m5!1s0x6d38afe38484c297:0x803c56d7ee4b3537!8m2!3d-41.2529602!4d174.7542577!16s%2Fg%2F11j32ry925?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
Richies Property Maintenance Ltd,+64 210 862 1663,,,wellington,New Zealand,Property maintenance,1.0,1,https://www.google.com/maps/place/Richies+Property+Maintenance+Ltd/data=!4m7!3m6!1s0x6d475556c2bd1801:0x938514357e371790!8m2!3d-41.1658759!4d174.9597026!16s%2Fg%2F11gmv7wf_f!19sChIJARi9wlZVR20RkBc3fjUUhZM?authuser=0&hl=en&rclk=1,No
DJs Mowing & Handyman Services,+64 27 520 1994,,"5 Beth Street, Trentham, Upper Hutt 5018, New Zealand",wellington,New Zealand,Property maintenance,5.0,5,"https://www.google.com/maps/place/DJs+Mowing+%26+Handyman+Services/@-41.131732,175.0442319,17z/data=!3m1!4b1!4m6!3m5!1s0x6d40ad224f0e7f4d:0x41f2b03b931c77f4!8m2!3d-41.131732!4d175.0442319!16s%2Fg%2F11q2j_pm72?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
Fasten,+64 27 566 5510,,"87 Leighton Avenue, Waiwhetu, Lower Hutt 5010, New Zealand",wellington,New Zealand,Handyman/Handywoman/Handyperson,,,"https://www.google.com/maps/place/Fasten/@-41.2277297,174.9082863,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38aa480ded7063:0xdce5a62863c5f50!8m2!3d-41.2277297!4d174.9082863!16s%2Fg%2F1tctlzwb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
Home improvements,+64 27 374 0382,,,wellington,New Zealand,Handyman/Handywoman/Handyperson,1.0,1,"https://www.google.com/maps/place/Home+improvements/@-41.2034636,174.8500996,11z/data=!3m1!4b1!4m6!3m5!1s0x6d38aa5c176422a9:0xbb3c398f529030b7!8m2!3d-41.2034636!4d174.8500996!16s%2Fg%2F12hpvnv_j?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
K & S Contractors 2017 Ltd,+64 210 828 5040,,"4 Akron Grove, Tōtara Park, Upper Hutt 5018, New Zealand",wellington,New Zealand,Handyman/Handywoman/Handyperson,5.0,5,"https://www.google.com/maps/place/K+%26+S+Contractors+2017+Ltd/@-41.1089937,175.0885786,17z/data=!3m1!4b1!4m6!3m5!1s0x6d40ade906a6c8f1:0xf5aee200b2aba424!8m2!3d-41.1089937!4d175.0885786!16s%2Fg%2F11fx_39mlb?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
1-Stop Handyman Services,+64 210 303 751,,"Kingsley Heights, Upper Hutt 5018, New Zealand",wellington,New Zealand,Handyman/Handywoman/Handyperson,5.0,5,"https://www.google.com/maps/place/1-Stop+Handyman+Services/@-41.1233209,175.0824775,17z/data=!3m1!4b1!4m6!3m5!1s0x6d40adbc59d03d25:0xec9e287081361cb4!8m2!3d-41.1233209!4d175.0824775!16s%2Fg%2F1wnby613?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
maintenance solutions,+64 22 360 1757,,"Whitby, Wellington 6011, New Zealand",wellington,New Zealand,Handyman/Handywoman/Handyperson,,,"https://www.google.com/maps/place/maintenance+solutions/@-41.2864777,174.7760153,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38afd44b3d04bb:0x2b6c6b13258ef64f!8m2!3d-41.2864777!4d174.7760153!16s%2Fg%2F11ggsfyn6p?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
Renovation Builders of Wellington,+64 4 886 1818,,,wellington,New Zealand,Handyman/Handywoman/Handyperson,5.0,5,https://www.google.com/maps/place/Renovation+Builders+of+Wellington/data=!4m7!3m6!1s0x4b2529f6a8827b19:0x334dbb024a5b12f9!8m2!3d-41.2529602!4d174.7542577!16s%2Fg%2F11tjwl5jwd!19sChIJGXuCqPYpJUsR-RJbSgK7TTM?authuser=0&hl=en&rclk=1,No
Wellington Handyman Services,,,"117 Bell Road, Waiwhetu, Lower Hutt 5010, New Zealand",wellington,New Zealand,Home builder,,,https://www.google.com/maps/place/Wellington+Handyman+Services/data=!4m7!3m6!1s0x6d38ab003ea25895:0x4febacc45bc2814c!8m2!3d-41.2263013!4d174.9118569!16s%2Fg%2F11ybhjv691!19sChIJlViiPgCrOG0RTIHCW8Ss608?authuser=0&hl=en&rclk=1,No
Handy Andy Home improvements and maintenance services ltd,+64 4 586 7684,,"18 Cuba Street, Petone, Wellington 5012, New Zealand",wellington,New Zealand,Painter,5.0,5,"https://www.google.com/maps/place/Handy+Andy+Home+improvements+and+maintenance+services+ltd/@-41.2290506,174.8842901,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38abc71504b9b7:0x8ce226e8ce31d767!8m2!3d-41.2290506!4d174.8842901!16s%2Fg%2F1tkp54yf?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
Sm handyman limited,+64 210 253 3598,,"79A Stewart Drive, Newlands, Wellington 6037, New Zealand",wellington,New Zealand,Handyman/Handywoman/Handyperson,,,"https://www.google.com/maps/place/Sm+handyman+limited/@-41.2217211,174.8153681,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38ad601df30e51:0x9b8b68dec1dd8188!8m2!3d-41.2217211!4d174.8153681!16s%2Fg%2F11s75pt41n?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
Fixit Handyman And Building Services,,,"18 Palmer Street, Aro Valley, Wellington 6011, New Zealand",wellington,New Zealand,Handyman/Handywoman/Handyperson,,,"https://www.google.com/maps/place/Fixit+Handyman+And+Building+Services/@-41.2953787,174.7701325,17z/data=!3m1!4b1!4m6!3m5!1s0x6d38b026f9a4f217:0x563f5c3239a7b924!8m2!3d-41.2953787!4d174.7701325!16s%2Fg%2F1pycljmx2?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
Odd Jobs Wellington,+64 22 411 4626,,,wellington,New Zealand,Handyman/Handywoman/Handyperson,5.0,5,"https://www.google.com/maps/place/Odd+Jobs+Wellington/@-41.1658759,174.9597026,10z/data=!3m1!4b1!4m6!3m5!1s0xadc7b7e846244537:0xa0a44fb1df3a3987!8m2!3d-41.1658759!4d174.9597026!16s%2Fg%2F11zkcymtmg?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
KS Maintenance services,+64 21 292 0537,,,wellington,New Zealand,Handyman/Handywoman/Handyperson,5.0,5,"https://www.google.com/maps/place/KS+Maintenance+services/@-41.1934493,174.7682885,11z/data=!3m1!4b1!4m6!3m5!1s0x687be67914c7f7f3:0x60d899d06cc817d6!8m2!3d-41.1934492!4d174.7682886!16s%2Fg%2F11y6rzkwtm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
ODDJOB,+64 210 715 225,,,wellington,New Zealand,Property maintenance,5.0,5,"https://www.google.com/maps/place/ODDJOB/@-43.0733664,172.3353745,7z/data=!3m1!4b1!4m6!3m5!1s0x6d38af7f310c131f:0x9f1fc0e16a4e2f56!8m2!3d-43.0733664!4d172.3353745!16s%2Fg%2F11gm7gqhvm?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
Jonathan Fix and Fit,+64 274 360 777,,,wellington,New Zealand,Handyman/Handywoman/Handyperson,5.0,5,"https://www.google.com/maps/place/Jonathan+Fix+and+Fit/@-41.2663375,174.7664011,12z/data=!3m1!4b1!4m6!3m5!1s0xac8051a69644eee3:0xcc16b47124ae89e9!8m2!3d-41.2663375!4d174.7664011!16s%2Fg%2F11y4b5y0vv?authuser=0&hl=en&entry=ttu&g_ep=EgoyMDI2MDMxMC4wIKXMDSoASAFQAw%3D%3D",No
